munic;pib;pib_pcap;area;dist_cap;pleb_caraj_dum;pleb_tapaj_dum;dum_car;dum_tap;bf;acomp_fami_bf;ifdm;emprego_renda;educ;saude;ifgf;rec_propria;pessoal;invest;liquidez;custo_divida;var_politica;carajsim;tapsim
Maracana;94502.713;3212.52;857.2;168;0;0;0;0;1683;0.5625;0.483172424;0.219485552;0.592645418;0.637386302;0.132997031;0.108277406;0;0.182458723;0;0.675814016;3079163.16;0.020902236;0.021939418
Marapanim;95740.649;3417.97;796;152;0;0;0;0;1204;0.4516;0.524342146;0.355542113;0.570307039;0.647177287;;;;;;;2691468.86;0.024684312;0.02947684
Marituba;518739.182;5128.01;103.3;19;0;0;0;0;5846;0.7553;0.597427736;0.42443551;0.652887532;0.714960167;0.124765588;0.083725281;0;0.133796314;0;0.758232287;8450834.26;0.059562947;0.063011404
Medicilandia;134716.722;5688.57;8272.6;860;1;1;0;1;1657;0.9934;0.520908648;0.312010464;0.584466216;0.666249264;0.475442658;0.06871325;0.527882118;0.248509574;0.902998527;0.821193776;2656037.97;0.848462665;0.861683613
Melgaco;49263.667;2790.04;6774;296.3;0;0;0;0;1212;0.6054;0.429892307;0.270045275;0.507108372;0.512523274;0.494334325;0.015921467;0.584813746;0.242300726;0.909561062;1;2464290.43;0.02351145;0.024625268
Mocajuba;78208.402;3166.97;870.8;224;0;0;0;0;1967;0.9132;0.54133848;0.34828553;0.697801102;0.577928808;0.429031365;0.077541648;0.486610916;0.143366687;0.846634332;0.793468088;3006979.44;0.025680087;0.030133604
Moju;234566.486;3419.34;9094.1;105;0;0;0;0;2956;0.6339;0.56035512;0.55096067;0.510469391;0.619635298;0.273263521;0.076303251;0;0.504939052;0.223407297;0.922173612;6714813.81;0.040212046;0.046113537
Monte Alegre;253144.663;3959.04;18152.5;774;1;1;0;1;3417;0.5856;0.530445596;0.351373212;0.617399135;0.622564441;0.354290672;0.251863717;0;0.411904442;0.589441789;0.723184332;5663124.06;0.941251552;0.951509291
Muana;72737.627;2379.54;3765.5;80;0;0;0;0;1455;0.6376;0.472018603;0.391639978;0.448045431;0.576370401;;;;;;;0.00;0.024026978;0.025370722
Nova Esperanca do Piria;69204.704;2876.1;2809.6;264;0;0;0;0;2359;0.9866;0.442818547;0.257158073;0.481899391;0.589398178;0.2752594;0.054897899;0.575183834;0.229961485;0;0.817496762;2353903.30;0.052056097;0.059502559
