munic;pib;pib_pcap;area;dist_cap;pleb_caraj_dum;pleb_tapaj_dum;dum_car;dum_tap;bf;acomp_fami_bf;ifdm;emprego_renda;educ;saude;ifgf;rec_propria;pessoal;invest;liquidez;custo_divida;var_politica;carajsim;tapsim
Augusto Correa;111036.953;2824.15;1091.5;231;0;0;0;0;3219;0.9496;0.499780873;0.315589284;0.542741791;0.641011543;;;;;;;4334742.80;0.02513138;0.027679316
Aurora do Para;86019.956;3854.8;1811.8;290;0;0;0;0;1960;0.915;0.433097528;0.180787975;0.494312199;0.624192409;0.312663003;0.029422049;0;0.083774516;0.831972335;1;2356161.10;0.035878181;0.040371375
Aveiro;54393.734;2683.99;17073.8;207;1;1;0;1;1078;0.6375;0.465461843;0.36035261;0.497025879;0.539007039;;;;;;;0.00;0.976072739;0.97922327
Bagre;45750.636;2244.22;4397.3;340.5;0;0;0;0;763;0.6342;0.473293804;0.301122183;0.394919941;0.723839289;;;;;;;0.00;0.016784156;0.018145161
Baiao;105948.261;3743.89;3758.3;254;0;0;0;0;2305;0.9324;0.511168234;0.293127693;0.606026066;0.634350942;0.291272918;0.052739614;0;0.173979217;0.666190955;0.903682162;3170554.12;0.066369214;0.075263562
Bannach;30876.367;7822.74;2956.6;856.5;1;1;1;0;184;0.6259;0.504916924;0.29798791;0.543014408;0.673748454;0.519268259;0.098772476;0.713675952;0.317605006;0.772663653;0.911569141;1035531.59;0.981158088;0.981184029
Barcarena;3287297.247;35512.63;1310.3;87;0;0;0;0;3573;0.7398;0.645338774;0.568998463;0.659264511;0.707753348;;;;;;;0.00;0.057028079;0.066411186
Belem;16526989.01;11496.24;1059.4;0;0;0;0;0;14101;0.2132;0.766195042;0.866748623;0.667182251;0.764654251;0.684430486;0.669802339;0.619052796;0.524438979;0.881745823;0.780465003;29623576.43;0.051334432;0.061178814
Belterra;68352.071;5394.37;4398.4;1467;1;1;0;1;1166;0.7278;0.405583721;0;0.630877015;0.585874148;;;;;;;0.00;0.981761387;0.987486124
Benevides;519243.179;11139.93;187.8;36;0;0;0;0;2618;0.8944;0.609248817;0.482446481;0.647326961;0.697973008;0.571839016;0.126937841;0.705657494;0.476998297;0.795024607;0.982999119;4288308.84;0.054704163;0.05941611
Bom Jesus do Tocantins;63053.153;4638.65;2816.5;593;1;1;1;0;783;0.675;0.527475693;0.34687127;0.633665223;0.601890585;0.611844088;0.216020761;0.732951738;0.325890113;1;1;1538997.83;0.921875;0.920404502
Bonito;36021.889;2998.58;586.7;149;0;0;0;0;1035;0.9981;0.504781146;0.379331974;0.49539187;0.639619593;0.521897219;0.044236758;0.677361622;0.62627788;0.606792709;0.820967006;1263727.14;0.029004329;0.029984143
Braganca;382807.569;3575.64;2091.9;215;0;0;0;0;7638;0.8419;0.527567817;0.422299501;0.604285455;0.556118495;0.392855026;0.163537791;0;0.701341683;0.575722299;0.687196275;5422969.69;0.038354102;0.044689081
Brasil Novo;78731.859;3985.62;6362.6;967;1;1;0;1;888;0.7675;0.56817811;0.217935924;0.67755287;0.809045536;;;;;;;2197534.03;0.735740072;0.748616125
Brejo Grande do Araguaia;32709.024;4254.56;1288.5;620;1;1;1;0;372;0.5345;0.502339858;0.28592559;0.636012581;0.585081403;0.605078399;0.070975374;0.853041956;0.542755576;0.931689444;0.654243701;1207740.79;0.99169047;0.990075738
Breu Branco;282525.69;5412.37;3941.9;390;1;1;1;0;2580;0.9165;0.516925192;0.283788084;0.582576574;0.684410917;0.542325986;0.125727304;0.531764598;0.868657276;0.515133936;0.830372851;5722099.89;0.828723719;0.825276611
Breves;300338.157;2970.88;9550.5;294;0;0;0;0;4224;0.5421;0.475047716;0.341241477;0.479019305;0.604882366;0.274828345;0.046943775;0;0.39692509;0.393920357;0.863257702;8598181.71;0.024770815;0.026326537
Bujaru;73291.044;3098.46;1005.2;80;0;0;0;0;993;0.5161;0.473130845;0.31471533;0.546861113;0.557816091;;;;;;;0.00;0.024677235;0.027146361
Cachoeira do Piria;47205.387;2514;2462;256;0;0;0;0;1424;0.8091;0.367350591;0;0.54341581;0.558635962;;;;;;;0.00;0.124195804;0.128323538
Cachoeira do Arari;62800.128;3076.78;3101.7;120;0;0;0;0;961;0.7657;0.493741685;0.328460001;0.559443243;0.593321812;0.511406936;0.069083042;0.447129607;0.480807065;0.861040306;0.93343431;2026228.69;0.024992562;0.025531492
Cameta;328735.412;2807.33;3081.4;212.8;0;0;0;0;7072;0.8651;0.523106354;0.393942351;0.542434183;0.632942527;0.498803815;0.05253976;0.479747551;0.290290993;0.949945968;0.999858541;8624034.05;0.022558246;0.026335285
Canaa dos Carajas;852967.197;30820.86;3146.4;752;1;1;1;0;531;0.3517;0.597166706;0.34985629;0.636166808;0.80547702;0.451238752;0.36672543;0.595020028;0.16346608;0.435849582;1;7009329.51;0.951241015;0.949911769
Capanema;407624.239;6326.72;613.6;160;1;1;0;0;3679;0.8238;0.59063663;0.489074389;0.660027379;0.622808124;0.471516773;0.304739281;0.701877398;0.469679193;0.212662577;0.915011226;5074296.55;0.033801758;0.041681129
Capitao Poco;160230.154;3034.83;2899.5;218;0;0;0;0;4718;0.8703;0.489301382;0.344229652;0.550916397;0.572758097;0.361307669;0.056454782;0.446005902;0.554946958;0.23344916;0.708648889;3256318.37;0.048422129;0.0527258
Castanhal;1216351.327;7531.73;1028.9;73;0;0;0;0;7282;0.6673;0.641737616;0.57102361;0.64929912;0.704890116;0.240249048;0.232209392;0;0.463627268;0;0.836857999;11371667.08;0.058223922;0.066062513
Chaves;68304.541;3330.95;13084.9;363;0;0;0;0;753;0.5222;0.461875427;0.341146939;0.487400725;0.557078616;;;;;;;0.00;0.059045226;0.061086683
Colares;37286.61;3261.31;609.8;100;0;0;0;0;966;0.9209;0.559491721;0.292880488;0.669762762;0.715831913;;;;;;;2088381.44;0.034731114;0.038763415
Conceicao do Araguaia;230119.13;4871.59;5829.5;979.5;1;1;1;0;4085;0.9509;0.558404794;0.39459361;0.613047549;0.667573222;0.406652321;0.09120704;0.543112916;0.853532311;0;0.71885561;3291848.65;0.970796811;0.969973545
