prodind
66.23
60.75
66.97
76.32
80.8
81.51
89.69
90.42
82.36
87.73
77.53
64.02
65.02
68.44
71.27
70.25
73.07
76.86
80.56
78.94
78.66
80.17
77.62
68.95
67.71
67.57
80.55
76.12
82.22
82.82
86.62
87.11
83.84
84.24
83.02
74.82
73.58
70.06
84.51
76.95
86.32
86.18
88.02
96.06
93.41
93.09
93.14
88.06
86.05
82.02
95.7
85.92
85.18
89.4
88.5
91.06
87.15
90.81
88.87
77.57
78.45
76.88
84.52
83.88
90.76
86.17
97.39
96.75
94.55
98.82
94.33
83.87
83.88
79.5
88.84
91.01
93.42
94.8
98.78
98.88
101.04
103.63
92.89
81.16
80.82
78.74
91.67
88.19
94.66
94.65
98.86
96.94
95.64
94.85
91.1
79.26
78.07
74.87
89.18
85.95
91.8
91.78
93.83
97.18
96.12
97.88
95.57
86.06
81.89
86.8
92.74
88.91
97.71
98.63
100.42
104.98
99.54
105
100.61
92.66
91.83
88.6
100.51
94.43
102.44
97.73
101.97
104.93
98.12
101.85
98.93
86.69
90.75
87.85
97.04
100.11
100.48
96.8
104.53
105.34
103.82
113.18
106.3
93.75
92.22
90.26
96.04
95.38
99.26
95.02
101.9
102.44
107.97
113.92
107.92
98.23
95.73
92.09
108.9
102.59
108.03
107.86
112.58
116.11
116.05
117.62
116.29
106.41
101.45
95.89
110.81
109.12
114.06
114.77
113.32
120.39
115.99
117.94
117.4
109.34
104.58
101.07
116.68
107.21
119.55
114.13
117.27
124.3
117.86
123.78
122.25
109.65
109.22
104.07
121.21
113.58
125.48
121.61
125.5
132.52
124.19
136.83
130.47
116.58
118.75
114.18
123.05
124.96
128.54
129.52
136.51
135.1
136.18
138.29
122.11
99.4
98.01
94.98
111.07
106.45
114.15
115.42
122.93
125.56
125.89
134.02
128.6
118.28
113.77
112.24
133.46
124.88
131.05
128.16
133.67
136.41
134.31
136.6
135.56
121.28
116.72
120.64
132.07
122.74
134.31
129.34
133.13
139.61
132.37
134.28
132.09
119.76
113.31
115.25
129.12
118.64
128.72
122.65
129.92
137.54
128.39
138.32
131.1
115.7
120.04
112.17
124.92
128.84
130.51
126.21
132.32
136.15
131
139.76
131.51
112.76
117.11
