Depth;Sus;Cond;Auppm;Sperc
1947;0.001741283;0.088136089;0;0
1947.5;0.005266333;0.462397998;0;0
1948;0.014499538;0.939519253;0;0
1948.5;0.006979191;0.494850022;0;0
1949;0.001194836;0.410777233;0;0
1949.5;0.002070982;0.243038049;0;0
1950;0.002353999;0.236789099;0;0
1950.5;0.002070982;0.161368002;0;0
1951;0.000916479;0.16879202;0;0
1951.5;0.002939972;0.161368002;0;0
1952;0.000932731;0.079181246;0;0
1952.5;0.002269761;0.153814864;0;0
1953;0.000727919;0;0;0
1953.5;0.001879679;0.130333768;0;0
1954;0.000691064;0.021189299;0;0
1954.5;0.002558046;0.113943352;0;0
1955;0.001184008;0;0;0
1955.5;0.002324842;0.249198357;0;0
1956;0.002491121;0.122215878;0;0
1956.5;0.002298923;0.16879202;0;0
1957;0.000981481;0;0;0
1960;0.002410149;0.230448921;0;0
1960.5;0.001485999;0.380211242;0;0
1961;0.002845061;0.494850022;0;0
1961.5;0.005369295;0.742332282;0;0
1962;0.002472768;0.356981401;0;0
1962.5;0.002281642;0.031408464;0;0
1963;0.001655844;0.041392685;0;0
1963.5;0.000937064;0.010723865;0.010723865;0.002166062
1964;0.001225152;0.261262869;0.010723865;0.002166062
1964.5;0.000273519;0.06069784;0.010723865;0.002166062
1965;0.000209497;0.070037867;0.010723865;0.002166062
1965.5;0.001718573;0.197280558;0.010723865;0.002166062
1966;0.000840631;0.096910013;0.010723865;0.002166062
1966.5;0.001339901;0.204119983;0.010723865;0.021189299
1967;0.001387523;0.261262869;0.010723865;0.021189299
1967.5;0.000296305;0.183269844;0.010723865;0.008600172
1968;0.000377672;0.070037867;0.010723865;0.008600172
1968.5;0.000163915;0.306425028;0.010723865;0.025305865
1969;0.001583371;0.230448921;0.010723865;0.025305865
1969.5;0.000579396;0.021189299;0.010723865;0.021189299
1970;0.001154772;0.138302698;0.010723865;0.021189299
1970.5;0.002076385;0.16879202;0.010723865;0.053078443
1971;0.001507639;0.146128036;0.010723865;0.053078443
1971.5;0.002099076;0.197280558;0.010723865;0.021189299
1972;0.001143944;0.051152522;0.010723865;0.021189299
1972.5;0.000539276;0.06069784;0.010723865;0.017033339
1973;0.001573635;0.176091259;0.010723865;0.017033339
1973.5;0.00152495;0.105510185;0.010723865;0.012837225
1974;0.001089796;0.146128036;0.010723865;0.012837225
1974.5;0.001045391;0.041392685;0.010723865;0.037426498
1975;0.002101237;0.130333768;0.010723865;0.037426498
1975.5;0.004175151;0.33243846;0.010723865;0.037426498
1976;0.003982621;0.352182518;0.010723865;0.037426498
1976.5;0.003270918;0.261262869;0.010723865;0.037426498
1977;0.00386534;0.342422681;0.010723865;0.037426498
1977.5;0.003192247;0.565257343;0.010723865;0.037426498
1978;0.002464132;0.130333768;0.010723865;0.037426498
1978.5;0.001835354;0.243038049;0.010723865;0.037426498
1979;0.001872111;0.33243846;0.010723865;0.037426498
1979.5;0.002544014;0.249198357;0.010723865;0.037426498
1980;0.00268755;0.342422681;0.010723865;0.037426498
1980.5;0.001868868;0.301029996;0.010723865;0.037426498
1981;0.002555888;0.443262987;0.010723865;0.037426498
1981.5;0.001624477;0.290034611;0.010723865;0.037426498
1982;0.002064498;0.402261382;0.010723865;0.037426498
1982.5;0.002311882;0.16879202;0.010723865;0.037426498
1983;0.002377756;0.278753601;0.010723865;0.037426498
1983.5;0.001374536;0.278753601;0.010723865;0.037426498
1984;0.002360478;0.041392685;0.010723865;0.037426498
1984.5;0.002104478;0.33243846;0.010723865;0.037426498
1985;0.002186588;0.236789099;0.010723865;0.037426498
1985.5;0.001989932;0.278753601;0.010723865;0.037426498
1986;0.002305403;0.236789099;0.010723865;0.037426498
1986.5;0.002531061;0;0.010723865;0.037426498
1987;0.002637912;0.153814864;0.010723865;0.037426498
1987.5;0.00234536;0.273001272;0.010723865;0.037426498
1988;0.002068821;0.113943352;0.010723865;0.037426498
1988.5;0.001298768;0.070037867;0.010723865;0.037426498
1989;0.002481405;0.138302698;0.010723865;0.037426498
1989.5;0.002401511;0.249198357;0.010723865;0.037426498
1990;0.001432977;0.190331698;0.010723865;0.037426498
1990.5;0.000556626;0.051152522;0.010723865;0.037426498
1991;0.002264361;0.153814864;0.010723865;0.017033339
1991.5;0.005395032;0.571126277;0.010723865;0.017033339
1992;0.000113987;0.041392685;0.021189299;0.06069784
1992.5;0.027206858;1.644930708;0.021189299;0.06069784
1993;0.003291391;0.375663614;0.033423755;0.093421685
1993.5;0.02719666;1.395763089;0.033423755;0.093421685
1994;0.015579781;1.063521;0.033423755;0.093421685
1994.5;0.002121766;0.041392685;0.033423755;0.093421685
1995;0.002582871;0.236789099;0.033423755;0.093421685
1995.5;0.017169035;1.039414119;0.033423755;0.093421685
1996;0.00635906;0.528273777;0.033423755;0.093421685
1996.5;0.008238109;0.62324929;0.033423755;0.093421685
1997;0.005909446;0.361727836;0.033423755;0.093421685
1997.5;0.005673749;0.477121255;0.033423755;0.093421685
1998;0.009153332;0.618048097;0.033423755;0.093421685
1998.5;0.002971244;0.204119983;0.033423755;0.093421685
1999;0.003038096;0.267171728;0.033423755;0.093421685
1999.5;0.002596901;0.284430734;0.033423755;0.093421685
2000;0.021891874;1.165095875;0.033423755;0.093421685
2000.5;0.00437297;0.088136089;0.033423755;0.093421685
2001;0.007630443;0.508529719;0.033423755;0.093421685
2001.5;0.002444699;0.267171728;0.033423755;0.093421685
2002;0.003589767;0.397940009;0.033423755;0.093421685
2002.5;0.019448637;1.161368002;0.033423755;0.093421685
2003;0.000981481;0.146128036;0.033423755;0.093421685
2003.5;0.029556244;1.457503427;0.033423755;0.093421685
2004;0.002807307;0.2955671;0.033423755;0.093421685
2004.5;0.000906728;0.306425028;0.010723865;0.004321374
2005;0.00206774;0.138302698;0.010723865;0.004321374
