Depth;Sus;Cond;Auppm;Sperc
1947.0;0.146670565;0.088136089;0;0
1947.5;0.346352974;0.462397998;;
1948.0;0.642958879;0.939519253;;
1948.5;0.418301291;0.494850022;;
1949.0;0.105680463;0.410777233;;
1949.5;0.169674434;0.243038049;;
1950.0;0.188506634;0.236789099;;
1950.5;0.169674434;0.161368002;;
1951.0;0.08323379;0.16879202;;
1951.5;0.225115357;0.161368002;;
1952.0;0.084576278;0.079181246;;
1952.5;0.182984967;0.153814864;;
1953.0;0.067349876;0;;
1953.5;0.156473431;0.130333768;;
1954.0;0.064177105;0.021189299;;
1954.5;0.201601932;0.113943352;;
1955.0;0.104828404;0;;
1955.5;0.186603222;0.249198357;;
1956.0;0.197349488;0.122215878;;
1956.5;0.184904268;0.16879202;;
1957.0;0.08857902;0;;
1960.0;0.192149125;0.230448921;;
1960.5;0.127995161;0.380211242;;
1961.0;0.219388028;0.494850022;;
1961.5;0.351022853;0.742332282;;
1962.0;0.196176185;0.356981401;;
1962.5;0.183767929;0.031408464;;
1963.0;0.140508043;0.041392685;;
1963.4;;;0.010723865;0.002166062
1963.5;0.084933575;0.010723865;;
1964.0;0.108057374;0.261262869;;
1964.4;;;0.010723865;0.002166062
1964.5;0.026533265;0.06069784;;
1965.0;0.020464871;0.070037867;;
1965.3;;;0.010723865;0.002166062
1965.5;0.14504094;0.197280558;;
1966.0;0.076913385;0.096910013;;
1966.4;;;0.010723865;0.021189299
1966.5;0.116939647;0.204119983;;
1967.0;0.120573931;0.261262869;;
1967.5;;;0.010723865;0.008600172
1967.5;0.028672901;0.183269844;;
1968.0;0.036229544;0.070037867;;
1968.4;;;0.010723865;0.025305865
1968.5;0.016092742;0.306425028;;
1969.0;0.135212185;0.230448921;;
1969.4;;;0.010723865;0.021189299
1969.5;0.054421524;0.021189299;;
1970.0;0.102519458;0.138302698;;
1970.3;;;0.010723865;0.053078443
1970.5;0.170041578;0.16879202;;
1971.0;0.129609341;0.146128036;;
1971.3;;;0.010723865;0.021189299
1971.5;0.171580202;0.197280558;;
1972.0;0.101661169;0.051152522;;
1972.3;;;0.010723865;0.017033339
1972.5;0.050862896;0.06069784;;
1973.0;0.134495856;0.176091259;;
1973.3;;;0.010723865;0.012837225
1973.5;0.130896378;0.105510185;;
1974.0;0.09734409;0.146128036;;
1974.3;;;0.010723865;0.037426498
1974.5;0.093771781;0.041392685;;
1975.0;0.171726454;0.130333768;;
1975.5;0.293583513;0.33243846;;
1976.0;0.283583881;0.352182518;;
1976.5;0.244524512;0.261262869;;
1977.0;0.277379975;0.342422681;;
1977.5;0.239987297;0.565257343;;
1978.0;0.195622944;0.130333768;;
1978.5;0.153357471;0.243038049;;
1979.0;0.155943018;0.33243846;;
1979.5;0.200713734;0.249198357;;
1980.0;0.20971603;0.342422681;;
1980.5;0.1557155;0.301029996;;
1981.0;0.201465404;0.443262987;;
1981.5;0.138223728;0.290034611;;
1982.0;0.169233451;0.402261382;;
1982.5;0.185754576;0.16879202;;
1983.0;0.190051418;0.278753601;;
1983.5;0.119585775;0.278753601;;
1984.0;0.188928484;0.041392685;;
1984.5;0.171945739;0.33243846;;
1985.0;0.177464352;0.236789099;;
1985.5;0.164129702;0.278753601;;
1986.0;0.18532963;0.236789099;;
1986.5;0.199892244;0;;
1987.0;0.206623518;0.153814864;;
1987.5;0.187943529;0.273001272;;
1988.0;0.16952749;0.113943352;;
1988.5;0.113776284;0.070037867;;
1989.0;0.196728723;0.138302698;;
1989.5;0.191590726;0.249198357;;
1990.0;0.124014879;0.190331698;;
1990.5;0.052405342;0.051152522;;
1990.7;;;0.010723865;0.017033339
1991.0;0.182628608;0.153814864;;
1991.5;0.352182518;0.571126277;;
1991.7;;;0.021189299;0.037426498
1992.0;0.01125317;0.041392685;;
1992.5;0.873029812;1.644930708;;
1992.6;;;0.033423755;0.093421685
1993.0;0.245697697;0.375663614;;
1993.5;0.872884344;1.395763089;;
1994.0;0.667686382;1.063521;;
1994.5;0.173113394;0.041392685;;
1995.0;0.203168923;0.236789099;;
1995.5;0.701783784;1.039414119;;
1996.0;0.393575203;0.528273777;;
1996.5;0.464638559;0.62324929;;
1997.0;0.374748346;0.361727836;;
1997.5;0.364550995;0.477121255;;
1998.0;0.495544338;0.618048097;;
1998.5;0.226986346;0.204119983;;
1999.0;0.230959556;0.267171728;;
1999.5;0.204052119;0.284430734;;
2000.0;0.790285164;1.165095875;;
2000.5;0.303627976;0.088136089;;
2001.0;0.442871555;0.508529719;;
2001.5;0.194375567;0.267171728;;
2002.0;0.26245109;0.397940009;;
2002.5;0.746634199;1.161368002;;
2003.0;0.08857902;0.146128036;;
2003.5;0.90539107;1.457503427;;
2004.0;0.217088951;0.2955671;;
2004.2;;;0.010723865;0.004321374
2004.5;0.082426301;0.306425028;;
2005.0;0.169453999;0.138302698;;
2005.2;;;0.010723865;0.049218023
2005.5;0.614633608;1.127914294;;
2006.0;0.563777633;1.042378598;;
2006.3;;;0.025305865;0.002166062
2006.5;0.044245689;0.210853365;;
2007.0;0.158814647;0.010723865;;
2007.4;;;0.093421685;0.120573931
2007.5;0.259713305;0.505149978;;
2008.0;0.743509765;1.218141468;;
2008.4;;;0.127104798;0.064457989
2008.5;0.831549852;1.57921178;;
2009.0;0.34532471;0.65079304;;
2009.3;;;0.733999287;0
2009.5;0.524396122;0.974281359;;
2010.0;0.63973544;1.159115822;;
2010.2;;;0.385606274;0
2010.5;0.600972896;1.178976947;;
2011.0;0.540329475;0.973474227;;
2011.1;;;0.303196057;0.309630167
2011.5;0.609594409;1.086359831;;
2012.0;0.660628353;1.009663317;;
2012.3;;;0.426511261;0
2012.5;0.824288582;1.590786124;;
2013.0;0.785685668;1.474216264;;
2013.4;;;0.931966115;0
2013.5;0.269863041;0.447158031;;
2014.0;0.662757832;1.192428055;;
2014.5;;;0.269512944;0.021189299
2014.5;1.081977046;1.627621851;;
2015.0;0.852022279;1.447545621;;
2015.5;0.38030171;0.65079304;;
2015.5;;;0.561101384;0.184691431
2016.0;0.463146137;0.858837851;;
2016.5;0.393619069;0.858837851;;
2016.6;;;0.767155866;0
2017.0;0.418467021;0.879382637;;
2017.3;;;0.049218023;0.029383778
2017.5;0.576916956;1.118925753;;
2018.0;0.199618068;0.427323786;;
2018.3;;;0.193124598;0.31386722
2018.5;0.374565061;0.678973376;;
2019.0;0.602059991;1.005395032;;
2019.3;;;0.037426498;0.004321374
2019.5;0.225180008;0.384711743;;
2020.0;0.287129621;0.45484486;;
2020.3;;;0.029383778;0.017033339
2020.5;0.440909082;0.8309093;;
2021.0;;;;
2021.3;;;0.010723865;0.002166062
2021.5;;;;
2022.0;0.12303453;0.130333768;;
2022.3;;;0.117271296;0.11058971
2022.5;0.127914294;0.230448921;;
2023.0;0.32888904;0.728353782;;
2023.3;;;1.903795143;1.431363764
2024.0;0.635735002;1.284994387;;
2024.1;;;0.252853031;0.071882007
2024.5;0.302817776;0.610127613;;
2024.8;;;0.190331698;0.187520721
2025.0;0.299234826;0.667452953;;
2025.5;;;1.502290528;0.983175072
2025.5;0.121313576;0.47348697;;
2026.0;0.335708576;0.599337133;;
2026.5;0.230065551;0.423245874;;
2026.5;;;1.472024698;1.204119983
2027.0;0.231150889;0.864807629;;
2027.5;0.364832305;0.978864984;;
2027.6;;;0.742725131;0
2028.0;;;0.267171728;0.252853031
2028.0;1.101832962;1.779055089;;
2028.5;0.212786677;0.273001272;;
2028.8;;;0.010723865;0.002166062
2029.0;0.244215251;0.427323786;;
2029.5;0.123606669;0.113943352;;
2029.7;;;0.010723865;0.002166062
2030.0;0.248402441;0.540954809;;
2030.5;0.204662512;0.176091259;;
2030.5;;;0.029383778;0.021189299
2031.0;0.353627759;0.726319612;;
2031.4;;;0.133538908;0.173186268
2031.5;0.386498966;0.72427587;;
2032.0;0.420327134;0.769007871;;
2032.3;;;0.311753861;0
2032.5;0.368333381;0.711807229;;
2033.0;0.559607421;1.005395032;;
2033.2;;;0.222716471;0.633468456
2033.5;0.201738417;0.431363764;;
2033.9;;;0.06069784;0.521138084
2034.0;0.126456113;0.423245874;;
2034.5;0.089728533;0.427323786;;
2034.6;;;0.093421685;0.673020907
2035.0;0.267699603;0.51851394;;
2035.3;;;0.807535028;0
2035.5;0.410777233;0.696793085;;
2036.0;;;1.380211242;1.028977705
2036.0;0.281771722;0.837272703;;
2036.5;0.126780577;0.327358934;;
2036.7;;;1.354300562;1.176091259
2037.0;0.711807229;1.760799312;;
2037.1;;;0.451786436;0
2037.5;;;0.45484486;0.740362689
2037.5;0.73379892;1.274157849;;
2038.0;;;0.614897216;0
2038.0;0.271434991;0.547159121;;
2038.5;0.302979937;0.52179165;;
2039.0;;;0.292256071;0.698970004
2039.0;0.295292143;0.62324929;;
2039.5;0.119668207;0.342422681;;
2039.8;;;0.264817823;0
2040.0;0.430961453;0.701136066;;
2040.5;0.826560681;1.320146286;;
2040.7;;;0.113943352;0.029383778
2041.0;0.397157574;0.352182518;;
2041.5;0.278924999;0.311753861;;
2041.6;;;0.010723865;0.002166062
2042.0;0.218141468;0.431363764;;
2042.5;;;0.010723865;0.002166062
2043.4;;;0.010723865;0.002166062
2044.3;;;0.010723865;0.008600172
2044.5;0.156170417;0.352182518;;
2045.0;0.312811826;0.599337133;;
2045.2;;;0.127104798;0.002166062
2045.5;0.177103432;0.267171728;;
2046.0;0.449478399;0.837272703;;
2046.1;;;0.010723865;0.008600172
2046.5;0.333296102;0.62065648;;
2047.0;;;0.010723865;0.004321374
2047.0;0.339302344;0.550228353;;
2047.5;0.257198426;0.342422681;;
2047.9;;;0.010723865;0.002166062
2048.0;0.259235402;0.278753601;;
2048.5;0.296500654;0.48784512;;
2048.8;;;0.010723865;0.002166062
2049.0;0.164947373;0.255272505;;
2049.5;0.189700813;0.197280558;;
2049.7;;;0.010723865;0.004321374
2050.0;0.194028437;0.380211242;;
2050.5;0.290201616;0.50174373;;
2050.6;;;0.010723865;0.002166062
2051.0;0.120080134;0.197280558;;
2051.5;;;0.010723865;0.002166062
2051.5;0.083771283;0.130333768;;
2052.0;0.076185161;0.010723865;;
2052.4;;;0.309630167;0.544068044
2052.5;0.421192468;0.480725379;;
2052.8;;;1.129367596;1.007320953
2053.0;1.027349608;1.511883361;;
2053.5;0.939144699;1.383366483;;
2053.8;;;0.021189299;0.002166062
2054.0;0.265171723;0.138302698;;
2054.5;0.085201355;0.096910013;;
2054.8;;;0.010723865;0.002166062
2055.0;0.064364381;0;;
2055.5;0.049121071;0.088136089;;
2055.7;;;0.010723865;0.002166062
2056.0;0.057380791;0.06069784;;
2056.5;0.14504094;0.284430734;;
2056.5;;;0.103803721;0.002166062
2057.0;0.500030534;1.029383778;;
2057.4;;;0.010723865;0.002166062
2057.5;0.084039781;0.122215878;;
2058.0;0.049314953;0.021189299;;
2058.2;;;0.010723865;0.002166062
2058.5;0.098643726;0.176091259;;
2059.0;;;0.064457989;0.002166062
2059.0;0.059752694;0;;
2059.5;0.186603222;0.2955671;;
2059.8;;;0.010723865;0.002166062
2060.0;0.067442843;0;;
2060.5;0.12515583;0.122215878;;
2060.7;;;0.010723865;0.002166062
2061.0;0.053462605;0.021189299;;
2061.5;0.044343735;0.021189299;;
2061.6;;;0.113943352;0.033423755
2062.0;0.283301229;0.607455023;;
2062.4;;;0.010723865;0.002166062
2062.5;0.12499302;0.249198357;;
2063.0;0.113525561;0.138302698;;
2063.3;;;0.010723865;0.002166062
2063.5;0.146748014;0.375663614;;
2064.0;0.109578547;0.088136089;;
2064.2;;;0.010723865;0.002166062
2064.5;0.096910013;0;;
2065.0;0.142780405;0.210853365;;
2065.5;0.194653072;0.16879202;;
2066.0;0.157607853;0.138302698;;
2066.5;0.180914004;0.088136089;;
2067.0;0.191031609;0.161368002;;
2067.5;0.180340961;0.031408464;;
2068.0;0.182200591;0.051152522;;
2068.2;;;0.010723865;0.002166062
2068.5;0.111934276;0.138302698;;
2069.0;0.194999703;0.204119983;;
2069.1;;;0.136720567;0.029383778
2069.5;0.252185306;0.505149978;;
2070.0;0.271434991;0.322219295;;
2070.0;;;0.117271296;0.008600172
2070.5;0.294135419;0.356981401;;
2071.0;;;0.204119983;0.021189299
2071.0;0.358410786;0.540954809;;
2071.5;0.301409837;0.337459261;;
2071.9;;;0.086359831;0.037426498
2072.0;0.298962182;0.249198357;;
2072.5;0.331072832;0.922984816;;
2072.9;;;0.1430148;0.06069784
2073.0;0.54499768;0.726319612;;
