Ticker,Retorno Médio Anualizado,Volatilidade Anualizada,Retorno Último Mês,Retorno Últimos 6 Meses,Retorno Últimos 12 Meses,Retorno Últimos 5 Anos,Retorno Últimos 10 Anos,Sharpe Ratio,Beta,VaR 95%,Correlação com IBOV (Últimos 5 Anos)
ALOS3,0.04965875953520146,0.22747937863793435,-0.03308983423362044,-0.04983109332637414,,,,0.08641996322001197,1.1391477730583,-0.02189141841767228,0.6310064025436861
ALPA4,0.11949020424547262,0.40407861483486013,-0.07114623860302671,-0.24598931517619105,-0.13177336328872946,-0.6910926831306674,-0.16562882798364187,0.22146731096384722,0.6428170220176972,-0.03691175901039827,0.523358541423349
ABEV3,0.10003126007479658,0.2767421365965769,0.02390126904857781,0.08231452628581248,0.005298992779869671,-0.30471206975183796,-0.1827692472017728,0.25305600706872194,0.525801020808294,-0.025306516121785683,0.5921089427583845
ASAI3,-0.1292792184559648,0.3785510042580095,-0.27320128474546745,-0.5028530982442325,-0.40068790011987765,,,-0.4207602586292563,0.8796620938171148,-0.036615118849625095,0.4213841076219516
AURE3,-0.15580423830333656,0.2350251386207079,-0.08818342033018323,-0.14048209625071217,-0.2397058924589187,,,-0.7905717634877952,0.4275895546467908,-0.022938280869647443,0.3176925129076136
AZUL4,0.055034458958917384,0.6820469278261075,0.2405064131582919,-0.533333338379229,-0.5562264064572893,-0.8854694176672198,,0.03670489219665555,1.7391349754063046,-0.05624357177613698,0.633047878368294
AZZA3,0.12788939794257034,0.39570291169587607,-0.12568423622532898,-0.33679336493647416,-0.3661477273031615,-0.13659043457889153,0.3264132701270517,0.24738104029369598,0.8301121918963443,-0.03807631148787897,0.6159951933510869
B3SA3,0.049688995827231165,0.46532277979049114,-0.1461477466471417,-0.08354642629845244,-0.093591879326262,-0.24999998336614526,1.5453830660617496,0.04231255524626588,1.1518400361218033,-0.04025677352742843,0.7277699211093512
BBSE3,0.10937956152532323,0.2933372415772252,-0.050608901035811615,0.07376809908732174,0.08944102484090521,0.04280625646650171,0.03940746166087972,0.2706085360948805,0.7047481945627135,-0.028123835215036336,0.5583089712721356
BBDC3,0.14628233070328828,0.34458144530569834,-0.0757997318437621,0.05225651951162513,0.05476186980105591,-0.4290190341260852,-0.10794581680978099,0.3374596406377233,0.9747518005018874,-0.03137038567605044,0.7837027303094645
BBDC4,0.04923339189783087,0.37377482008475155,-0.05933790104208425,0.061310843196649145,0.04728792070682264,-0.40093062465819607,0.02177611718663308,0.0514571631483089,1.0385428748340046,-0.03201156852339007,0.7542343810915941
